GeoAreaName,Region,ISOalpha3,Source,FootNote,Year_of_appointment,chief_justice_name,sex_chief_justice
Tajikistan,Central Asia and Southern Asia,TJK,Embassy of Tajikistan in India,Supreme Court,,Rustam Pirakhmadovich Mirzozoda,MALE
Thailand,Eastern Asia and South-eastern Asia,THA,Council of Asean Chief Justices Sites,Suprme Court,2024,Chanakarn Theeravechpolkul,FEMALE
Togo,Sub-Saharan Africa,TGO,Francophone Supreme Courts Site,Supreme Court of Togo,2020,Abdoulaye Bawa Yaya,MALE
Tokelau,Oceania excluding Australia and New Zealand,TKL,Judiciary Website,Supreme Court,2019,Dame Helen Winkelmann,FEMALE
Trinidad and Tobago,Latin America and the Caribbean,TTO,Caribbean Court of Justice Site,Caribbean Court of Justice,2025,Winston Anderson,MALE
Türkiye,Western Asia and Northern Africa,TUR,Constitutional Court Site,Constiutional Court,2025,Kadir ÖZKAYA,MALE
Turkmenistan,Central Asia and Southern Asia,TKM,Government Site,Supreme Court,2023,Begenç Gurbangeldiýewiç Hojamgulyýewi,MALE
Turks and Caicos Islands,Latin America and the Caribbean,TCA,Judiciary Website,Supreme Court,2020,Justice Mabel Agyemang,FEMALE
Tuvalu,Oceania excluding Australia and New Zealand,TUV,Judicial Committee of the Privy Council Site,Judicial Committee of the Privy Council Site,2020,Reed of Allermuir,MALE
Uganda,Sub-Saharan Africa,UGA,Judiciary Website,Supreme Court,2020,Alfonse Owiny-Dollo,MALE
Ukraine,Europe and Northern America,UKR,Network of the Presidents of the Supreme Judicial Court of the European Union,,2023,Stanislav Kravchenko,MALE
United Arab Emirates,Western Asia and Northern Africa,ARE,Federal Supreme Court site,,,Mohamed Hamad Al Badi,MALE
United Kingdom of Great Britain and Northern Ireland,Europe and Northern America,GBR,Supreme Court Website,Supreme Court,2020,Reed of Allermuir,MALE
United Republic of Tanzania,Sub-Saharan Africa,TZA,Judiciary Website,Court of Appeal,,George Mchehe Masaju,MALE
United States Minor Outlying Islands,Oceania excluding Australia and New Zealand,UMI,Supreme Court Website,Supreme Court,,John G. Roberts,MALE
United States of America,Europe and Northern America,USA,Supreme Court Website,Supreme Court,,John G. Roberts,MALE
Uruguay,Latin America and the Caribbean,URY,Judiciary Website,,,John Perez Brignani,MALE
Uzbekistan,Central Asia and Southern Asia,UZB,Supreme Court Site,Supreme Court,,Bakhtiyor Dzhakhangirovich Islamov,MALE
Vanuatu,Oceania excluding Australia and New Zealand,VUT,Judiciary Website,Court of Appeal,,Vincent Lunabek,MALE
Venezuela (Bolivarian Republic of),Latin America and the Caribbean,VEN,Supreme Court Site,Tribunal Supremo de Justicia,,Caryslia Beatriz Rodríguez Rodríguez,FEMALE
Viet Nam,Eastern Asia and South-eastern Asia,VNM,Supreme Court Site,Supreme People's Court,2025,Nguyen Van Quang,MALE
